(791.4661342514823, 1009.2150013089293)
(765.1541412672959, 1020.1724840884733)
(766.2993870117685, 1095.5344249240936)
(783.4446164555934, 1045.3235167843318)
(768.4069262408746, 1070.4064302658444)
(768.9969428036821, 1100.1447350023238)
(762.0378711209912, 1188.2901622162362)
(787.8145494862183, 1039.1204980461378)
(805.9138079033936, 1014.4843620560772)
(746.0998671289215, 1071.219483996712)
(764.6071765969141, 1076.3910955211354)
(762.310900775539, 966.3220984067854)
(783.2989317557501, 1117.2778442147903)
(775.9792332026556, 1098.9431738955197)
(775.1036315725916, 1089.4224896289154)
(775.4976337796958, 1010.8002392409528)
(771.6407833995964, 1080.036546130139)
(795.4522216954213, 1005.8191056610099)
(784.6542406996391, 1128.0475895153413)
(775.2318818885823, 1025.3508352015442)
(751.2335991096235, 899.4515247092284)
(771.1136519053576, 1058.8658911866398)
(760.3597095498499, 1078.0405696856565)
(782.9010373253509, 1082.7395848360131)
(768.2704114136006, 1067.5560877071505)
(751.7127997402927, 1055.4522712849791)
(746.0625995689257, 1047.3134867323151)
(784.8347941671875, 1121.1877174318192)
(750.8255480588061, 1079.0568524433913)
(787.7705108459438, 1007.821236219869)
(785.8948414880949, 1041.4538538138042)
(767.8318638830665, 1070.7029734887394)
(765.6778872213953, 1107.1807340459568)
(798.9010210247031, 983.2651251987915)
(775.8335485028123, 1086.8901902903451)
(766.7098368548765, 984.1804350351636)
(749.5786562547647, 1038.2390298651692)
(767.6174283956618, 1024.5387694190636)
(747.3593143456716, 1166.020968793008)
(797.1715430498531, 1052.781898288727)
(745.5959543509651, 1123.8060482358715)
(773.7061760975631, 1071.3544058118391)
(774.7362336219092, 988.5237561370836)
(750.493018875829, 1104.241505367837)
(768.011430602766, 1015.2987727800255)
(777.488491357671, 1096.2202824240123)
(771.2467811924921, 1077.0771006389323)
(793.8384386238531, 1102.8517304989853)
(775.2047709490048, 1035.0199185077151)
(779.6192493030597, 1029.268219526031)
(757.6316572782194, 990.4505112303777)
(765.6977203975384, 1064.1619515264283)
(744.3084094467888, 1100.5925408216804)
(773.9070694244101, 1081.0730053214431)
(783.8725006825539, 1056.965869115408)
(770.176070568011, 1165.4905047775414)
(761.9807703848523, 1053.9617449215814)
(782.8603842252159, 1044.7410105766646)
(794.2978060783794, 1090.5742796760478)
(783.8352331225582, 1023.7024966032877)
(776.2754815734859, 1019.7028161772894)
(762.0625832682781, 1058.9544486408886)
(779.0035338451164, 1025.0550231179425)
(762.2223168118345, 1146.1723315986144)
(761.2401901510577, 941.1570030122172)
(777.1177078668493, 1106.554974940449)
(748.6270260737049, 1030.6295737617074)
(776.0784804699338, 1090.1869412957972)
(773.8997916609758, 1084.405357449496)
(766.9513832818585, 1130.5447305849439)
(771.5149318758963, 1032.6500878575173)
(773.8625241009801, 1062.0085653212036)
(755.0018655260183, 1114.478482090971)
(784.7321613597699, 1109.9532489592577)
(754.4374664717839, 1086.1061072846474)
(755.6572473362477, 1033.2622959296466)
(790.0701722074583, 1054.6558062415888)
(765.1681901110092, 1065.583806630632)
(756.9786742602804, 1027.4291077475382)
(777.2774414104058, 1082.911095722128)
(766.5268845950375, 1046.7131440353057)
(771.7225962830221, 1171.204298074674)
(763.4139999888721, 1152.8367406189645)
(764.5699090369185, 1082.9220469578004)
(762.9895013020509, 1086.9387185453918)
(782.9489681889203, 1076.6922548180269)
(767.1590476889844, 1073.6509914612186)
(756.394442029903, 1172.3916892444076)
(765.6672239178215, 1033.1819422954866)
(756.6800270971596, 1076.9166886063679)
(772.425908956821, 990.316724981515)
(765.4189064105606, 1074.1272897698345)
(777.3626398339709, 1121.0735625217726)
(758.9298654859696, 1015.0887707350889)
(777.6167416736617, 1000.7004554654746)
(796.6526760668976, 1067.9362102156992)
(807.1989540152795, 1059.4253593566975)
(771.0763843453619, 1158.0336613135264)
(785.7922086806773, 1024.3022153993643)
(794.9870699084651, 1098.4697706203656)
(773.4486887177327, 1070.6602706828924)
(784.5525946400702, 1165.7841933464922)
(787.4098839755403, 1041.158701013412)
(777.0126762671412, 1112.6368777531327)
(782.7040362217988, 991.1106236566209)
(789.5057731532239, 1093.0860335363543)
(777.8476247970702, 1083.9597893332468)
(755.6398129523952, 1031.3661568402629)
(770.5294196749802, 1096.9908882052712)
(760.1147775827284, 1073.4669559167744)
(793.6143265807235, 1046.2751204559358)
(776.0445984500775, 1101.1898408673503)
(760.6419090769672, 1089.7975197804128)
(773.544043761716, 1033.2924356505018)
(752.9596915443341, 986.6382396181949)
(763.0640364220424, 1028.1625055541172)
(796.6313494597501, 1043.2461987573026)
(769.4180559503639, 1117.1333615864935)
(756.7139091170159, 1055.170340852788)
(798.7785550411425, 1045.1843075603854)
(789.3470263575163, 1040.8281685172353)
(791.3949846716304, 1038.7671489391685)
(761.6506399941658, 1091.3852837012032)
(770.9573039019406, 1068.9376183763964)
(774.5285692147833, 1097.6587665952104)
(761.0978909913539, 986.058333208234)
(782.1057551477081, 1028.7820701657308)
(754.5153871319146, 1084.2948640944808)
(746.3985142920424, 1067.3450239048886)
(754.6146343991928, 1093.3930517118667)
(772.3068285133996, 1018.1974221669493)
(759.5479797362034, 1024.7563898098183)
(778.7528175455649, 1108.1628061035933)
(772.9447759397765, 1090.246494595455)
(748.6270260737049, 1133.1085266374505)
(763.5843968360024, 1069.9709326752416)
(769.6629879174853, 1077.9992573023121)
(779.5737172317808, 1122.7051648146746)
(776.5741287366069, 1072.316301435906)
(765.0863772275834, 1004.8401834930731)
(762.5103006713816, 1062.862050725389)
(765.6672239178215, 1021.2857829767842)
(760.2546779501416, 1079.883457207637)
(779.5877660754941, 1098.422196884284)
(778.2256860513263, 1051.3360910074666)
(771.8682809828654, 1106.9098620877987)
(801.1542449536527, 1034.006456974503)
(769.4495391779295, 1085.3717953386208)
(783.0912673486242, 1020.4430608108759)
(773.523223837724, 1040.2079780518338)
(757.8964224214841, 1041.8141639362375)
(756.799107540581, 1008.4367771818526)
(787.9161955457872, 1148.1122352511704)
(773.5091749940109, 1008.5141285441906)
(774.8853038618919, 989.0537438694953)
(759.9013288431725, 1031.279649091726)
(750.017203785299, 1132.4515994831836)
(766.8429661420109, 1030.2670682685396)
(786.7545021653108, 1073.1398301193908)
(763.843377646837, 1098.3156937494773)
(757.7299177976488, 1034.2339687964597)
(771.7424294591652, 1121.1126037725885)
(781.9600704478648, 1103.7028375322814)
(772.8736263599245, 1089.6356769458282)
(763.5703479922892, 1074.0279621272125)
(762.0891875247, 1079.034842733686)
(785.2559073138692, 1130.2970777116943)
(806.8794869281666, 967.635764717924)
(792.5029628561073, 1060.586084363212)
(790.1248741513065, 1017.2120840783018)
(779.7044477266248, 1123.2550387421409)
(779.4454669157901, 1079.2656451131247)
(778.5649863145823, 1140.854294978542)
(776.6113962966026, 1055.7777852330432)
(787.9873451256391, 1052.6894244232085)
(760.9918726437969, 1024.642087281894)
(763.9179127668283, 1042.486946685833)
(764.6105621370535, 1097.796180969683)
(771.48104985604, 1026.9874560425585)
(764.6957605606186, 1054.37468075763)
(763.5843968360024, 1093.3674876854905)
(744.818106557175, 977.4937948782912)
(772.4830096929597, 1052.6942215445042)
(759.1805817855211, 1058.5501190990449)
(778.5683718547216, 976.3189667935493)
(779.2179693325212, 1045.716821281564)
(797.4876245968265, 1045.3347228762425)
(763.6018312198548, 1101.8249393592112)
(792.2149789965601, 1035.6654919521934)
(774.4003188987925, 1028.9415700117027)
(770.7636883385279, 1102.571909475676)
(774.9366202656006, 1067.232037990528)
(756.3837787263292, 1069.6963253531133)
(735.0249642552965, 1045.431631768458)
(787.5662319789574, 1098.5907389279982)
(773.1558258870417, 1138.4773222655806)
(772.956425991199, 1022.5142651030453)
(792.9415103866415, 1046.293394801671)
(766.1289901646384, 1128.9167898470735)
(767.2195339652626, 1029.3702542047192)
(770.6693200423935, 1060.1403351996635)
(766.9208868021417, 1074.7719086953477)
(765.5926887978302, 1038.499024396594)
(769.6291058976291, 1028.393307933556)
(770.0129514843151, 1113.666563926368)
(766.4010330713373, 1006.514893018793)
(798.704019921151, 1057.491536009579)
(777.4744425139579, 1015.5849906210358)
(793.186442353763, 1071.103312810375)
(780.6212091399796, 1099.8194424810765)
(773.6795718411412, 1049.7843660656697)
(770.2240014315804, 1040.1616471203772)
(775.8814793663817, 1096.7409307700714)
(774.9671167453176, 1075.743836418399)
(747.0805003586937, 1067.615748245169)
(750.6353180355328, 1106.0604407127607)
(783.284882912037, 1008.5686967251578)
(770.1726850278716, 1124.863348141195)
(751.3492940129054, 1062.8022091400712)
(748.23640940674, 1155.6712610117515)
(784.2365130930967, 1114.2319647839859)
(775.531515799552, 1051.7426178729002)
(779.1259998286773, 991.0288795999581)
(782.7074217619381, 1032.3371704238664)
(785.5240579972732, 1108.999374155125)
(781.8071079845871, 1144.2920884840762)
(777.1210934069887, 1061.979339739796)
(767.899627922779, 1092.0239699391566)
(777.3461921979671, 1079.08600421586)
(775.7076969791121, 1012.0734738787731)
(759.9492597067419, 1116.3686146838559)
(762.3505671278253, 975.2790270945131)
(762.4531999352429, 1057.4360871185859)
(764.5592457333447, 1048.957835110363)
(755.9931620593643, 935.8559241243163)
(777.2096773706932, 1032.5251627590976)
(769.2791423307993, 1013.8424905461476)
(803.9031171492751, 1085.213868915306)
(792.4492476601079, 1055.756104188515)
(768.5617808132873, 1080.3389148022334)
(759.7309319960423, 1100.5916601116542)
(774.8853038618919, 1111.0080228758145)
(782.8778186090683, 1106.8977752858618)
(783.1319204487593, 974.9982656580079)
(780.3937115567105, 1094.6142441574868)
(787.9907306657785, 1078.5404511266345)
(775.6365473992602, 1123.335170949484)
(779.8128648664724, 981.5580402019641)
(782.986235748916, 1079.7623412821265)
(761.3824893107617, 1146.9515436740776)
(770.2680400718549, 1104.5984422208985)
(777.1351422507018, 1086.4713217667365)
(745.33457474784, 1050.0865871198864)
(771.6712798793133, 1099.0474797067368)
(779.0069193852559, 1105.5345189623513)
(792.2415832529821, 1099.4964879512008)
(779.6018149192072, 1088.7947880560562)
(785.758326660821, 1063.7171145494724)
(768.6576425404261, 1029.6932421640165)
(772.537711636808, 1010.8109690498086)
(755.7458312999522, 1070.8068030169013)
(783.2882684521763, 990.8442201545812)
(781.8889208680129, 1060.2119349217407)
(784.1851966893879, 1086.875322643403)
(740.3910727904113, 1068.9022052511905)
(767.5123967959536, 1008.6975048054255)
(774.9225714218875, 1115.1936389812363)
(779.7102320590548, 1049.9094722113887)
(781.8923064081523, 1099.161379760545)
(796.1521488290807, 1051.052144298985)
(770.9166508018055, 1053.4340283216982)
(781.8037224444478, 1057.497944980194)
(755.4089298289869, 1040.4520027994736)
(771.9394305627173, 1049.3399335156848)
(765.0796061473046, 1036.1025275831769)
(792.1297805729951, 1031.9572693421346)
(764.0568263863928, 1046.2995489160478)
(780.2678600330104, 1119.9496076335452)
(750.7379508429503, 1097.4889413673538)
(758.0726036010442, 998.3452710354021)
(761.7803837411609, 1081.8308315881338)
(797.1003934700012, 1094.1284992241576)
(777.8011873645052, 952.9317511696536)
(771.6093001720308, 1052.9419482266926)
(765.4736083544088, 1017.9476457790488)
(774.2638040715186, 1046.3456584206879)
(783.284882912037, 1044.087490121191)
(776.6418927763194, 1145.747711434745)
(773.3601047540283, 1134.0964575737082)
(782.4963718146729, 1032.4887213059878)
(762.2794175479734, 1044.6435181630338)
